5444,EE13X51,SORENTO 138/115 AT2,0,50,CB,SRENTO,OCB,S0584,T,
5445,EE13X52,ADDIS 138/69 AT2,0,50,CB,ADDIS,OCB,8030,T,
5446,EE13X53,ADDIS 138/69 AT4,0,50,CB,ADDIS,OCB,20615,T,
5454,EE13X80,CHAMPAGNE 138/69 T2,0,50,CB,CHAMPG,OCB,17220,T,
5473,EE23117,ADDIS-COHEN-PLACID 230,0,50,CB,ADDIS,GCB,21760,T,
5473,EE23117,ADDIS-COHEN-PLACID 230,0,50,CB,ADDIS,GCB,21755,T,
5475,EE23119,ADDIS-DOW METER 230 L732,0,50,CB,ADDIS,GCB,21750,T,
5475,EE23119,ADDIS-DOW METER 230 L732,0,50,CB,ADDIS,GCB,21745,T,
5476,EE23120,ADDIS-DOW METER 230 L387,0,50,CB,ADDIS,GCB,21765,T,
5476,EE23120,ADDIS-DOW METER 230 L387,0,50,CB,ADDIS,GCB,21760,T,
5477,EE23121,SOLAC BULK-CHALKLEY 230,0,50,CB,SLC,GCB,27560,T,
5501,EE23153,CYP-HARDIN  230 LN-HARDDIN UN 1-2,150,50,UN,CYP,G2, ,T,
5501,EE23153,CYP-HARDIN  230 LN-HARDDIN UN 1-2,150,50,UN,CYP,G1, ,T,
5512,EE23164,YANDELL-TINNIN 230,0,50,LN,YANDEL_BOZMAN6,A, ,T,6YANDELL RD!230.00 6BOZEMAN RD 230.00 1
5512,EE23164,YANDELL-TINNIN 230,0,50,LN,TINNIN_BOZMAN6,A, ,T,
5512,EE23164,YANDELL-TINNIN 230,0,50,CB,YANDEL,GCB,J3304,T,
5512,EE23164,YANDELL-TINNIN 230,0,50,CB,TINNIN,GCB,J1012,T,
5533,EE23186,AAC CORP-LICAR 230,0,50,CB,LICAR,GCB,21850,T,
5533,EE23186,AAC CORP-LICAR 230,0,50,CB,LICAR,GCB,21840,T,
5540,EE23193,PANAMA-WILTON 230,0,50,CB,PANAMA,GCB,S8574,T,
5540,EE23193,PANAMA-WILTON 230,0,50,CB,PANAMA,GCB,S7091,T,
5543,EE23196,LAKOVER NORTH GEN FEED,375,50,UN,LAKOVR,ST, ,T,
5543,EE23196,LAKOVER NORTH GEN FEED,375,50,UN,LAKOVR,GT1, ,T,
5544,EE23197,LAKEOVER SOUTH GEN FEED,177,50,UN,LAKOVR,GT2, ,T,
5554,EE23212,KAISER-PACKENHAM-OAKS 230,0,50,LN,OAKS___PACTAP6,A, ,T,6PACKAI     230.00 6OAKS!      230.00 1
5555,EE23213,MERAUX-OAKS 230,0,50,LN,OAKS___MERAUX6,A, ,T,6OAKS!      230.00 6MERAUX!    230.00 1
5561,EE23222,DERBIGNY-MARKET STREET 230,0,50,LN,DERBNY_MKT_ST6,A, ,T,6MKTST!     230.00 6DERBI!     230.00 1
5562,EE23223,MARKET ST-NAPOLEON-NINEMILE 230,0,50,LN,MKT_ST_NAPOLN6,A, ,T,6NAPOL      230.00 6MKTST!     230.00 1
5562,EE23223,MARKET ST-NAPOLEON-NINEMILE 230,0,50,CB,NINEMI,OCB,S2015,T,
5562,EE23223,MARKET ST-NAPOLEON-NINEMILE 230,0,50,CB,NINEMI,OCB,S2012,T,
5563,EE23224,DERBIGNY-NINEMILE 230,0,50,LN,NINEMI_MIDTWN6,1, ,T,69MILE%     230.00 6DERBI!     230.00 1
5563,EE23224,DERBIGNY-NINEMILE 230,0,50,LN,MIDTWN_DERBNY6,1, ,T,69MILE%     230.00 6DERBI!     230.00 1
